                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  1.623,                  1.265,                 1.5476,                0.46763,                0.40929,                0.37986,                0.14931,                 2.3248,                 2.3559,                 2.4207,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.6234,                 1.2656,                 1.5459,                0.49405,                0.42139,                0.37949,                 0.1454,                 2.3344,                 2.3645,                 2.4411,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.6133,                 1.2474,                 1.5304,                0.47756,                0.40916,                 0.3763,                0.14431,                  2.371,                 2.3952,                 2.4841,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.6091,                 1.2511,                 1.5362,                0.48817,                0.40572,                0.37361,                0.14658,                 2.3609,                  2.408,                 2.4982,               0.008317,               0.008317,               0.008317
                     87,                 1.5997,                 1.2324,                 1.5307,                0.61989,                 0.3522,                0.36971,                 0.1519,                 2.3447,                 2.3906,                  2.473,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.6111,                 1.2392,                 1.5327,                0.60138,                0.37092,                0.37952,                0.15491,                 2.3704,                 2.3795,                 2.5022,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.6118,                 1.2358,                 1.5197,                0.61153,                0.37762,                0.39123,                0.15929,                 2.3591,                 2.3287,                 2.4733,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.5913,                   1.22,                 1.5106,                0.59245,                0.36952,                0.39008,                0.16171,                 2.3546,                 2.3535,                 2.4668,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.5849,                 1.2136,                 1.5083,                0.55058,                 0.3787,                0.38801,                0.15983,                 2.3371,                 2.3453,                 2.4523,               0.008218,               0.008218,               0.008218
                     92,                 1.5823,                 1.2039,                 1.5097,                0.59732,                0.36703,                0.38637,                0.15535,                 2.3476,                 2.3591,                  2.451,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.5755,                 1.2005,                 1.5041,                0.57183,                0.36515,                0.37966,                 0.1541,                 2.3428,                 2.3656,                  2.452,              0.0081784,              0.0081784,              0.0081784
                     94,                   1.58,                 1.1913,                 1.5061,                0.57904,                0.37546,                0.38122,                0.15412,                   2.34,                 2.3739,                 2.4488,              0.0081586,              0.0081586,              0.0081586
